id,datoid,band,long,lat,read,map,map_rescaled
40133,7780,02,4.042061817688341,38.601486461605184,5.11,1600,0.16
40134,13187,03,4.850230542310608,38.49725656925045,1.21,1402,0.1402
40135,13329,04,5.344047089693896,38.390877216646736,0.44,1317,0.1317
40136,3899,08,2.604359819956328,39.16152023812327,2.06,1308.5,0.13085
40137,7813,07,3.8617830106529376,38.28519372647244,1.42,1298,0.1298
40138,4117,08,3.27801375212587,38.32038780679822,1.35,1308.5,0.13085
40139,13287,8A,5.164385923823664,38.24992319523598,0.79,1326.5,0.13265
40140,4066,04,2.4693808608097774,38.74207735537705,1.12,1317,0.1317
40141,11412,06,3.5220517575677843,37.74720701718389,1.9,1296,0.1296
40142,13450,03,4.6255283403714,38.07319705869938,1.51,1402,0.1402
40143,4653,03,3.6372004696994655,38.14403703443772,1.81,1402,0.1402
40144,8531,08,2.244802359580138,37.82542311015834,1.13,1308.5,0.13085
40145,13286,04,5.119470645606256,38.24992320229061,1.58,1317,0.1317
40146,4056,08,2.828710744686833,38.777102806269994,0.37,1308.5,0.13085
40147,4990,07,2.6939655837710745,38.49642455433528,2.35,1298,0.1298
40148,7970,8A,3.9676571780248215,39.035924792284945,2.45,1326.5,0.13265
40149,5178,05,2.514299056755228,38.10870314493322,0.59,1327.5,0.13275
40150,7709,08,3.906704025511749,38.74207326352315,1.58,1308.5,0.13085
40151,8411,07,1.6027285709681007,37.57445764592022,1.93,1298,0.1298
40152,4579,02,2.0156502459815253,39.19347836818801,12.42,1600,0.16
40153,4459,03,2.056231368548724,39.137610929516725,11.34,1402,0.1402
40154,7423,05,4.0414610873083925,39.335146665321645,9.19,1327.5,0.13275
40155,13369,11,4.221165093834523,38.179343488567184,0.45,1291,0.1291
40156,5219,07,2.2899971800392342,37.931831012691944,7.62,1298,0.1298
40157,5192,03,2.603421597015711,38.07296388859383,1.64,1402,0.1402
40158,4108,08,2.8729648071595815,38.31988871622063,1.81,1308.5,0.13085
40159,5114,02,2.469382438251416,38.320445323744735,10.76,1600,0.16
40160,4970,03,2.604131478990887,38.56669626581905,5.36,1402,0.1402
40161,5886,11,3.2329496643883875,37.32705768164635,3.45,1291,0.1291
40162,13471,06,4.535572027881646,38.03790090480979,1.4,1296,0.1296
40163,11396,8A,3.637196623113419,37.57665520197566,6.97,1326.5,0.13265
40164,8192,08,3.3677115142054945,38.91762805451896,0.87,1308.5,0.13085
40165,13284,08,5.029640090069757,38.24992321639987,0.51,1308.5,0.13085
40166,5030,06,2.1162433803931373,38.29240125802284,6.44,1296,0.1296
40167,7415,07,4.176213647647146,39.36987697094788,3.86,1298,0.1298
40168,8717,8A,1.901193018328002,37.379406969173566,1.52,1326.5,0.13265
40169,13358,08,4.984733786920353,38.21467013082664,0.57,1308.5,0.13085
40170,7509,12,3.906705912872161,39.091544321245216,2.82,1301.5,0.13015
40171,8862,04,2.1919960382602137,37.43243552381973,4.7,1317,0.1317
40172,8539,07,2.604130921137096,37.82542454347751,2.07,1298,0.1298
40173,5019,07,2.0297382748507227,38.33247864697879,2.68,1298,0.1298
40174,5172,07,2.2445144234804344,38.10807353201371,5.36,1298,0.1298
40175,13445,04,4.400826204907522,38.073345565294076,9.47,1317,0.1317
40176,5168,05,2.603798681025895,38.14368995650342,0.66,1327.5,0.13275
40177,7851,11,3.995636049270146,38.53273849661788,1.4,1291,0.1291
40178,13384,02,4.939809520160213,38.17934346738275,0.94,1600,0.16
40179,4934,04,1.9556713361570164,38.51287601259899,6.95,1317,0.1317
